id,country,played,yellow_cards,indirect_red_cards,direct_red_cards,fouls_committed,fouls_suffered,avg_fouls_committed,avg_fouls_suffered
1,Colombia COL,4,9,0,1,63,52,15.75,13.0
2,Switzerland SUI,4,9,0,1,53,53,13.25,13.25
3,Russia RUS,5,6,1,0,95,56,19.0,11.2
4,Germany GER,3,2,1,0,29,39,9.666666667,13.0
5,Croatia CRO,7,15,0,0,114,105,16.28571429,15.0
6,France FRA,7,12,0,0,93,103,13.28571429,14.71428571
7,Belgium BEL,7,11,0,0,99,75,14.14285714,10.71428571
8,Argentina ARG,4,11,0,0,55,75,13.75,18.75
9,Panama PAN,3,11,0,0,49,48,16.33333333,16.0
10,Korea Republic KOR,3,10,0,0,63,33,21.0,11.0
11,Mexico MEX,4,9,0,0,54,47,13.5,11.75
12,Serbia SRB,3,9,0,0,45,37,15.0,12.33333333
13,England ENG,7,8,0,0,72,100,10.28571429,14.28571429
14,Sweden SWE,5,8,0,0,65,64,13.0,12.8
15,Morocco MAR,3,8,0,0,62,36,20.66666667,12.0
16,Portugal POR,4,7,0,0,55,59,13.75,14.75
17,Brazil BRA,5,7,0,0,50,73,10.0,14.6
18,IR Iran IRN,3,7,0,0,44,45,14.66666667,15.0
19,Australia AUS,3,7,0,0,37,30,12.33333333,10.0
20,Denmark DEN,4,6,0,0,54,28,13.5,7.0
21,Senegal SEN,3,6,0,0,44,30,14.66666667,10.0
22,Costa Rica CRC,3,6,0,0,43,35,14.33333333,11.66666667
23,Egypt EGY,3,5,0,0,38,21,12.66666667,7.0
24,Japan JPN,4,5,0,0,37,48,9.25,12.0
25,Peru PER,3,5,0,0,37,38,12.33333333,12.66666667
26,Tunisia TUN,3,4,0,0,46,35,15.33333333,11.66666667
27,Nigeria NGA,3,4,0,0,45,44,15.0,14.66666667
28,Uruguay URU,5,3,0,0,63,69,12.6,13.8
29,Iceland ISL,3,3,0,0,35,27,11.66666667,9.0
30,Poland POL,3,3,0,0,31,33,10.33333333,11.0
31,Spain ESP,4,2,0,0,34,59,8.5,14.75
32,Saudi Arabia KSA,3,1,0,0,30,45,10.0,15.0
